"Type","Speaker","Topic","Year"
"Methods","Maksym Byshkin, Alex Stivala, Mira Antonietta, Garry Robins, Alessandro Lomi","Efficient Markov chain Monte Carlo Estimation of Exponential Random Graph Models",2017
"Methods","Michele Starnini, Andrea Baronchelli, Romualdo Pastor-Satorras","Effects of temporal correlations in social multiplex networks",2017
"Methods","Holger Finger, Caspar Goeke, Dorena Diekamp, Kai Standvoß, Peter Konig","LabVanced: A Unified JavaScript Framework for Online Studies",2017
"Methods","Ashton Anderson, Jon Kleinberg, Sendhil Mullainathan","Assessing Human Error Against a Benchmark of Perfection",2017
"Methods","Stefano Nasini","On the estimation of pairwise influences in dynamic choices",2017
"Methods","Claudia Wagner, Philipp Singer, Fariba Karimi, Jürgen Pfeffer, Markus Strohmaier","Sampling from Social Networks with Attributes",2017
"Identity and Self-Presentation","Morgan Frank, Ahmad Alabdulkareem, Lijun Sun, Bedoor Alshebli, Cesar Hidalgo, Iyad Rahwan","The Polarized Network of Skill Complementarity",2017
"Identity and Self-Presentation","Fariba Karimi, Mathieu Genois, Claudia Wagner, Philipp Singer, Markus Strohmaier","Visibility of minorities in social networks",2017
"Identity and Self-Presentation","Teresa Gil Lopez, Cuihua Shen, Grace Benefield, Nicholas Palomares, Michal Kosinski, David Stillwell","One Size Fits All: Context Collapse, Self-Presentation Strategies and Language Styles on Facebook",2017
"Identity and Self-Presentation","Samuel Martin, Sylvie Huet, Pascal Gend, Mohammed Amine Ait Oumajoud, Guillaume Deffuant, Armelle Nugier, Serge Guimond","Bounded confidence in extreme opinion evolution : an online experiment",2017
"Identity and Self-Presentation","Tao Jia, Dashun Wang, Boleslaw Szymanski","Quantifying patterns of research interest evolution",2017
"Discourse","Pedro Parraguez, Melanie Kreye, Phil Cash, Anja Maier","Mapping evolving uncertainty in a complex engineering design project with email mining",2017
"Discourse","David Garcia, Pavlin Mavrodiev, Daniele Casati, Frank Schweitzer","Understanding social influence and inactivity patterns in the Twitter society",2017
"Discourse","Pablo Aragon, Andreas Kaltenbrunner, Vicenc Gomez","The Effects of Conversation Threading on Online Discussion Networks",2017
"Discourse","Janos Kertesz, Janos Torok, Yohsuke Murase, Hang-Hyun Jo, Kimmo Kaski","Mapping out the social web from Big Data: Modeling selection of communication channels",2017
"Discourse","Yasuhiro Hashimoto, Mizuki Oka, Takashi Ikegami","Large fluctuation in social tagging ecosystems",2017
"Keynote","Kathleen Carley","Social Influence on the Web: Bots and Fake News",2017
"Keynote","Justin Grimmer","Exploratory and Confirmatory Causal Inference for High Dimensional Interventions",2017
"Keynote","Daniel Romero","Examining the Effects of Exogenous Shocks on Social Networks and Collaborative Crowds",2017
"Keynote","Milena Tsvetkova","Social Science Research with Games and Gamification",2017
"Elections","Eszter Bokanyi, Zoltan Szallasi, Gabor Vattay","Urban Scaling in US Presidential Elections",2017
"Elections","Kenneth Joseph, Nir Grinberg, Lisa Friedland, William Hobbs, Carolina Mattsson, Stefan McCabe, Lucas Da Silva Almeida, David Lazer","The Spread of Fake News on Twitter by Voters During the 2016 U.S. General Election",2017
"Elections","Sebastian Stier, Arnim Bleier, Haiko Lietz, Markus Strohmaier","Platform effects on social media: Topic salience in a representative survey, Facebook and Twitter during an election campaign",2017
"Elections","Ashrakat Elshehawy, Nikolay Marinov, Federico Nanni","Quantifying Attention to Electoral Integrity of Foreign States with Text Analysis",2017
"Elections","Laura Hollink, Astrid van Aggelen, Jacco van Ossenbruggen","The Effect of Missing Translations on Analyses of European Legislative Speech",2017
"Online politics","Denis Stukal, Sergey Sanovich, Joshua A Tucker","Detecting Political Bots on Russian Twitter",2017
"Online politics","Stefan Evert, Philipp Heinrich, Fabian Schaefer","Social Bots in Japan’s 2014 General Election: Preliminary Results from a Corpus-Linguistic and Qualitative Study of Computational Propaganda on Twitter",2017
"Online politics","Pablo Aragon, Yana Volkovich, David Laniado, Andreas Kaltenbrunner","Online Network Organization of an Emergent Movement-Party",2017
"Online politics","Ruth Garcia Gavilanes, Anders Mollgaard, Milena Tsvetkova, Taha Yasseri","The Memory Remains: Understanding Collective Memory in the Digital Age",2017
"Popular Culture","Osnat Mokryn, Nadim Bader, Joel Lanir, Yael Albo","Exploring Emotions in Online Movie Reviews",2017
"Popular Culture","Krzysztof Kulakowski, Malgorzata Krawczyk","Children names – simulations and facts",2017
"Popular Culture","Marc Keuschnigg, Martin Arvidsson, Peter Hedstrom","Cultural Dynamics at Spotify",2017
"Popular Culture","Carmen Iasiello","Using Agent Based Modeling to Interpret Underlying Factors of Underrepresentation of Minorities in Hollywood Films",2017
"Popular Culture","Michael Mauskapf, Jared Lorince, Noah Askin, Agnes Horvat, Brian Uzzi","Women and Creativity: Gender Differences in the Production of Popular Music",2017
"Popular Culture","Johannes Wachs, Aniko Hannak, Balint Daroczy, Andras Voros","Gender Outcome Disparities in an Online Community of Designers",2017
"Workplaces","Matthew Corritore, Amir Goldberg, Sameer Srivastava","What Difference Does Difference Make? A Language-Based Model of Cultural Heterogeneity and Firm Performance",2017
"Workplaces","Lisa Posch, Arnim Bleier, Fabian Flock, Markus Strohmaier","A Cross-Country Comparison of Crowdworker Motivations",2017
"Workplaces","Eray Alpan, Gokhan Gokturk, Selim Balcisoy, Burcin Bozkaya","Insurance Fraud Detection: A Network Modeling and Behavioral Analytics Approach",2017
"Workplaces","Radoslaw Kowalski","Patients’ written reviews as a resource for public healthcare management in England",2017
"Workplaces","Katie Metzler, Ian Mulvany","Opportunities and Challenges in Computational Social Science: A Publisher’s Perspective",2017
"Keynote","Matt Taddy","Economic AI",2017
"Keynote","Maria Pereda","Learning to be nice: social norm as a result of adjusting expectations",2017
"Keynote","Jeff Hancock","Folk Theories and Cyber-Social Systems: Understanding People's Understanding",2017
"Poster","Akin Unver","Geo-Spatial Network Analysis of Digital and Traditional Mobilization: The Case of Turkey’s Failed Coup",2017
"Poster","Bertie Vidgen, Taha Yasseri, Helen Margetts","What factors drive the success of e-petitions? A case study of the UK Government’s e-petition website",2017
"Poster","Kokil Jaidka, Saifuddin Ahmed","Predicting Protest Participation from Social Media",2017
"Poster","Julia Proskurnia, Przemyslaw Grabowicz, Ryota Kobayashi, Carlos Castillo, Philippe Cudre-Mauroux, Karl Aberer","Predicting the Success of Online Petitions Leveraging Multidimensional Time-Series",2017
"Poster","Richard Kim, Bjarke Felbo, Nick Obradovich, Iyad Rahwan","Quantifying structural factors affecting racial tensions during 2016 US Presidential election",2017
"Poster","Lisa-Maria Neudert, Bence Kollyani","Computational Propaganda: Bots & Automated Misinformation in the German Elections",2017
"Poster","Carlos Arcila, Felix Ortega, Miguel Vicente","Sentiment Analysis of Political Tweets based on Machine Learning Approaches using Streaming and Distributed Technologies",2017
"Poster","Andres Abeliuk, Antonio Fernandez Anta, Nick Obradovich, Iyad Rahwan","Modeling the Evolution of Political Ideologies",2017
"Poster","Javier Ruiz-Soler","Twitter as the new coffee house? The mapping of European issue publics and the analysis of its internal structure",2017
"Poster","Jan Lorenz","How Public Policy Mood Cycles through Opinion Dynamics",2017
"Poster","Floriana Gargiulo, Yerali Gandica","The role of homophily in the emergency of controversies",2017
"Poster","Venkata Rama, Ingmar Weber","A long-term Analysis of Polarization on Twitter",2017
"Poster","Jingwen Zhang, Ze Li","Hybrid Contagion: Theoretical and Practical Implications for Communication Campaigns",2017
"Poster","George Boynton, Sikder Huq, Yelena Mejova","The Audience in Twitter Communication",2017
"Poster","Angus Veitch","Exploring the agendas of a large number of discourse actors",2017
"Poster","Lu Xiao","What Makes a User’s Comment Persuasive in Online Discussions? An Entry-Order Examination",2017
"Poster","Elisa Celis, Siddhartha Tekriwal","What Do Users Want in Q&A Sites: Quality or Diversity?",2017
"Poster","Hyunjin Seo, Stuart Thorson","Press Freedom Homophily and the Structure of the Global Internet",2017
"Poster","Joanna Strycharz, Guda van Noort, Edith Smit, Rens Vliegenthart, Natali Helberger","Media effects on public opinion about online privacy",2017
"Poster","Martin Hilbert, Saifuddin Ahmed, Jaeho Cho, Billy Liu, Jonathan Luu","Communicating with algorithms: a transfer entropy analysis of emotions-based escapes from online echo chambers",2017
"Poster","Peter Krafft, Michael Macy, Alex Pentland","Bots as Virtual Confederates: Design and Ethics",2017
"Poster","Samira Shaikh","A Construal Level Approach Towards Measuring Social Distance in Natural Language",2017
"Poster","Kyriaki Kalimeri, Mariano Beiro, Andrea Bonanomi, Alessandro Rosina, Ciro Cattuto","Automatic Prediction of Youth Unemployment via Social Media Data",2017
"Poster","Wei Huang, Tomas Uson, Alexander Zipf","Modeling “Psychological Crowd” based on Social Media Data: A Case Study of Toronto, Canada",2017
"Poster","Venkata Rama, Jonathan Cohen, Ingmar Weber","Understanding Para Social Breakups on Twitter",2017
"Poster","David Choi, Robert Freeland, Jesse Hoey","Occupational Social Status Modeling with Affect Control Theory",2017
"Poster","Ailbhe N Finnerty, Debasis Ganguly, Emma Norris, Marta Marques, Alison O' Mara-Eves, James Thomas, Lea A Deleris, Pol Mac Aonghusa, Robert J West, Susan Michie","Advancing the Understanding of Behaviour Change through Artifical Intelligence and Machine Learning",2017
"Poster","Bruce Sherin, Nicole Kersting, Matthew Berland","Mutually-supporting computational and traditional analysis for learning analytics",2017
"Poster","Thomas Stoeger, Martin Gerlach, Richard Morimoto, Luis Amaral","Reconstructing a scientific discipline",2017
"Poster","Jared Lorince, Martin Gerlach, Brian Uzzi","Measuring Textual Similarity of Scientific Papers to Predict Growth and Decline of Disciplines",2017
"Poster","Christian Pentzold, Esther Weltevrede, Michele Mauri, David Laniado, Andreas Kaltenbrunner, Erik Borra","Mining Wikipedia as digital cultural heritage gateway and site",2017
"Poster","Cristian Candia Vallejos, Cristian Jara Figueroa, Carlos Rodriguez Sickert, Cesar Hidalgo","The laws of forgetting: How time, popularity, and death shape human collective memory",2017
"Poster","Santa Agreste, Pasquale De Meo, Emilio Ferrara, Sebastiano Piccolo, Alessandro Provetti","Analysis of a Heterogeneous Social Network of Humans and Cultural Objects",2017
"Poster","Martyn Harris, Mark Levene, Dell Zhang, Alessandro Provetti","Crowdsourcing user relevance judgments for a Digital Humanities Information Retrieval system",2017
"Poster","Jussi Ojala, Ingmar Weber, Emilio Zagheni, Francesco Billari","Fertility and its Meaning: Evidence from Search Behavior",2017
"Poster","Emanuele Massaro, Daniel Kondor, Alessandro Vespignani, Carlo Ratti","Improving urban epidemiology using mobile phone data",2017
"Poster","Narjes Tahaei, Aseel A Addawood","Scientific credibility behind MMR vaccination debates on Twitter",2017
"Poster","Ferda Ofli, Yusuf Aytar, Ingmar Weber, Raggi Al Hammouri, Antonio Torralba","Is Saki #delicious? The Food Perception Gap on Instagram and Its Relation to Health",2017
"Poster","Christa Brelsford, Caterina De Bacco, Joshua Abbott","Social Contagion in Water Conservation Program Adoption",2017
"Poster","Kazuki Uchida, Fujio Toriumi, Takeshi Sakaki","Evaluation of robustness of clustering methods using incomplete data",2017
"Poster","Elena Amista, Francesco Tarasconi, Vittorio Di Tomaso","Combining natural language processing and qualitative content analysis to understand online communication strategies in Italian local elections",2017
"Poster","Maximilian Weber","From nought to sixty: Computer-assisted analysis of open-ended survey responses",2017
"Poster","Kyriaki Kalimeri, Mariano Beiro, Andrea Bonanomi, Alessandro Rosina, Ciro Cattuto","Traditional versus Facebook-based Surveys: Evaluation of Biases in Self-reported Psychometric Information",2017
"Poster","Peter Van Den Besselaar, Ali Khalili, Frank Van Harmelen, Klaas de Graaf","Improving social research using heterogeneous data: The SMS platform",2017
"Poster","Alfredo Morales-Guzman, Xiaowen Dong, Yaneer Bar-Yam, Burcin Bozkaya, Alex Pentland","Coupling Patterns of Virtual and Physical Behavior",2017
"Poster","Ignacio Tamarit, Maria Pereda, Robin Dunbar, Angel Sanchez","Dunbar’s numbers and social structure: Models and experiments",2017
"Poster","Daniele Cassese","Surveillance on Networks",2017
"Poster","Dmitry Zinoviev","Network Analysis of Conspiracy Theories and Pseudosciences",2017
"Poster","Pablo Jensen, Matteo Morini, Marton Karsai, Eric Fleury, Patrick Flandrin","A mesoscale description of networks' dynamics through continuous partitioning",2017
"Poster","Eun Lee, Fariba Karimi, Hang-Hyun Jo, Markus Strohmaier, Petter Holme","The effect of the homophilic on the local biased visibility",2017
"Poster","Patrick Gildersleve, Taha Yasseri","Order in User Navigational Structures on Wikipedia",2017
"Poster","Betsy Williams","Analyzing Each Other's Footprints: Interference in Crowded Online Research Ecosystems",2017
"Poster","Eleonora Patacchini, Chris Rojas","Social Contagion and Selection in Large Online Systems",2017
"Poster","Sanja Scepanovic, Igor Mishkovski, Bruno Goncalves, Hieu Nguyen Trung, Pan Hui","Semantic homophily in online communication: evidence from Twitter",2017
"Poster","Emese Domahidi, Ana Levordashka, Vivian Fresen, Sonja Utz","Work related social support in Q&A sites: A content analysis approach",2017
"Poster","Lucie Flekova, Jordan Carpenter, Lyle Ungar, Daniel Preotiuc-Pietro","Annotator Traits Impact Crowdsourced Assessment of other Users",2017
"Poster","Amir Javed, Pete Burnap, Omer Rana","Real Time Prediction of Drive by Download Attacks on Twitter",2017
"Poster","Scott Hale, Irene Eleta","Foreign-language Reviews: Help or Hindrance?",2017
"Poster","Marlon Twyman, Brian Keegan, Aaron Shaw","Black Lives Matter in Wikipedia: Collaboration and Collective Memory around Online Social Movements",2017
"Poster","Hyunjin Seo, Nicole Beckage","Social Media and Ethnic/Racial Inclusion: Topic Modeling and Multiplex Network Analysis Approach",2017
"Poster","Martin Hilbert, Ryan James, Teresa Gill Lopez, Ke Jiang, Yining Zhou","The Predictability of Communication Patterns in Spontaneous Teamwork",2017
"Poster","Werner Reichmann, Carsten Schwede","“Scopic Media” and the transformation of interaction order. A sociological interaction-experiment",2017
"Poster","Soojong Kim, Natalie Herbert, Arnout van de Rijt, Damon M Centola","Emergence and Stability of Status Hierarchy",2017
"Poster","Floriana Gargiulo, Gianluca Manzo","Reputation Dynamics: from theory, to Large-scale Digital Data, to models",2017
"Poster","Mirko Lai, Marcella Tambuscio, Viviana Patti, Giancarlo Ruffo","The Significant Role of User's Community and Temporal Evolution on Stance Detection",2017
"Poster","Adam Pah, John Hagan, Andrew Jennings, Aditya Jain, Kat Albrecht, Adam Hockenberry, Luis Amaral","Economic insecurity and the rise in gun violence at US schools",2017
"Poster","Marco De Nadai, Emmanuel Letouze, Marta Gonzalez, Bruno Lepri","Inside Out: to understand crime mechanisms look at urban fabric first",2017
"Poster","Katarzyna Growiec, Jakub Growiec, Bogumil Kaminski","Mapping the Dimensions of Social Capital",2017
"Poster","Federico Musciotto, Luca Marotta, Jyrki Piilo, Rosario N Mantegna","Is high frequency trading networking a financial market?",2017
"Poster","Raphael Heiberger","Predicting Economic Growth with Stock Networks",2017
"Poster","Mohsen Bahrami, Burcin Bozkaya, Selim Balcisoy","Using Predictive Analytics to Learn and Predict Customer Invoice Payment Behavior",2017
"Poster","Fabrizio Amarilli","A Co-evolution Perspective on Business IT Alignment. Implications for Corporate Management Practice",2017
"Poster","Adrian Carro, Doyne Farmer","Towards a spatial agent-based model of the UK housing market",2017
"Poster","Philipp Grunewald, Marina Diakonova","New data on the complex relationships between activities and electricity use in UK households",2017
"Poster","Mohsen Mosleh, Babak Heydari","Co-evolution of Consumers’ Preferences in Sharing Economy and Traditional Platforms: the Case of Hospitality Industry",2017
"Poster","Edmond Awad, Max Kleiman-Weiner, Sohan Dsouza, Jean-Francois Bonnefon, Azim Shariff, Josh Tenenbaum, Iyad Rahwan","Moral Responsibility for Suboptimal Death Toll Across Vehicle Automation Regimes",2017
"Poster","Edmond Awad, Sohan Dsouza, Jean-Francois Bonnefon, Azim Shariff, Iyad Rahwan","Global Survey of Autonomous Vehicle Ethics using the Trolley Problem Paradigm",2017
"Poster","Jasper Tjaden, Carsten Schwemmer, Menusch Khadjavi","Ride with me - Ethnic Discrimination in Online Car-Pooling Markets",2017
"Poster","Toru Fujino, Yu Chen","Effects of Network Structure on the Performance of a Modeled Traffic Network with Drivers' Preference Heterogeneity",2017
"Poster","Mariano Beiro, Ciro Cattuto, Leo Ferres, Eduardo Graells-Garrido, Loreto Bravo, Diego Caro","Understanding mall visiting patterns with CDR data",2017
"Keynote","Duncan Watts","Contagion on Social Networks",2018
"Keynote","Iain Couzin","Collective Sensing and Decision-Making in Animal Groups: From Fish Schools to Primate Societies",2018
"Keynote","Nitesh Chawla","What Does the Quantified Self Tell about Qualified Self",2018
"Keynote","Marta Sales-Pardo","Using Inference for Prediction on Social Systems",2018
"Keynote","David Ferrucci","Understanding understanding",2018
"Keynote","Damon Centola","How Behavior Spreads",2018
"Keynote","Aaron Clauset","Scale Free Networks are Rare",2018
"Keynote","Marta C.Gonzalez","Modeling and Planning Urban Systems with Novel Data Sources",2018
"Keynote","Matthew Jackson","Dynamic Networks and Increasing Homophily and Polarization",2018
"Keynote","David Lazer","The future(s) of computational social science",2018
"Keynote","Moran Cerf","Usage of Neuroscience in Computational Social Science",2018
"Keynote","Tanzeem Choudhury","How Social Science can Influence Technology Design for Influencing Behavior in the Physical World",2018
"Keynote","Lada Adamic","How Cascades Grow",2018
"Text and Social Media","Dmitry Zinoviev","Network Analysis of the 2016 Presidential Campaign Tweets",2018
"Text and Social Media","Jacob Abitbol Levy, Marton Karsai, Jean-Pierre Chevrot, Jean-Philippe Mague, Eric Fleury","Socioeconomic and Network Dependencies of Linguistic Patterns in Twitter",2018
"Text and Social Media","Chenhao Tan, Hao Peng, Noah Smith","You Are No Jack Kennedy: On Media Selection of Highlights from Presidential Debates",2018
"Text and Social Media","Yevgeniy Golovchenko, Mareike Hartmann, Rebecca Adler-Nissen","Citizen Curators of Digital (Dis)Information: State, Media and Civil Society in the Information Warfare over Ukraine",2018
"Text and Social Media","Sashank Santhanam, Samira Shaikh","I Stand with You: Detecting and Characterizing Expressions of Solidarity in Social Media",2018
"Text and Social Media","Stefan Wojcik, Solomon Messing, Skye Toor","Bots on Twitter: Political or Just Prevalent?",2018
"Text and Social Media","Bjarke Moensted, Piotr Sapieżynski, Emilio Ferrara, Sune Lehmann","Evidence of Complex Contagion of Information in Social Media: an Experiment Using Twitter Bots",2018
"Text and Social Media","Yotam Shmargad, Limin Zhang","Social Media and the Rise of Dark Horse Candidates",2018
"Culture","Austin Kozlowski, Matt Taddy, James Evans","The Geometry of Meaning: Analyzing Culture Through Word Embeddings",2018
"Culture","Yian Yin, Yang Wang, James Evans, Dashun Wang","Temporal Scaling of Repeated Failures",2018
"Culture","Charles Gomez","Global Epistemic Cultures and Their Nationalized Forms",2018
"Culture","Samuel Fraiberger, Roberta Sinatra, Christoph Riedl, Albert-Laszlo Barabasi","Quantifying Reputation and Success in Art",2018
"Culture","Julia Perczel, Balazs Vedres","Structural Properties of Canon-Formation in the Western Art World",2018
"Culture","Hyunuk Kim, Marcus J. Hamilton, Woo-Sung Jung, Hyejin Youn","The Structure of Mythologies Explains Early Human Migrations Out of Africa",2018
"Culture","Masahiro Kazama, Keisuke Matsushima, Lav R Varshney, Yoshiki Ishikawa","A Novel System for Transformation of Regional Cuisine Style",2018
"Science of Science","David Jurgens, Srijan Kumar, Raine Hoover, Dan McFarland, Dan Jurafsky","Measuring the Evolution of a Scientific Field Through Citation Frames",2018
"Science of Science","Yifang Ma, Satyam Mukherjee, Brian Uzzi","Universal Links Between Mentor’s Tacit Knowledge Transfer and Proteges’ Propensity for Leading Scientific Thinking",2018
"Science of Science","Misha Teplitskiy, Eamon Duede, Karim Lakhani","Why Citations Don't Mean What We Think They Mean: Evidence from Citers",2018
"Science of Science","Allison Morgan, Dimitrios Economou, Samuel Way, Aaron Clauset","Prestige Drives Epistemic Inequality in the Diffusion of Scientific Ideas",2018
"Science of Science","Binglu Wang, Dashun Wang","Preferential Desertion Induces Structural Collapse in Science and Technology",2018
"Science of Science","Shunzhe Yu, Isaac Waller, Ashton Anderson","Generalists and Specialists: Quantifying Activity Diversity in Online Platforms",2018
"Science of Science","Johan Chu, James Evans","Too Many Papers? Slowed Canonical Progress in Large Fields of Science",2018
"Science of Science","Valentin Danchev, Andrey Rzhetsky, James Evans","Centralized “Big Science” Communities More Likely Generate Non-Replicable Results",2018
"Health and Wellbeing","Carlos Gallo, Hendricks Brown, Kevin Moran, Brian Mustanski","Preventing HIV by Analyzing Text Messages Written by Adolescent MSM",2018
"Health and Wellbeing","Thomas Stoeger, Martin Gerlach, Richard Morimoto, Luis Nunes Amaral","Large-Scale Investigation of the Reasons Why Potentially Important Genes Are Ignored",2018
"Health and Wellbeing","Balint Neray, Johan Koskinen, Patrick Janulis, Gregory Phillips Ii, Michelle Birkett","Inferring the Organizing Principles of Young Men Who Have Sex with Men from Combining Many Sex-Reports",2018
"Health and Wellbeing","Abigail Jacobs, Mathijs De Vaan, Toby Stuart","The Diffusion of Opioids in Family Households",2018
"Health and Wellbeing","Jessica Santana","Community Centrality and Boundary Work",2018
"Health and Wellbeing","Pei Fang Hsieh","Measuring the Unmeasurable - A Project of High Risk Families Prediction and Management",2018
"Health and Wellbeing","Giovanna Miritello, Manuel Cebrian, Cesar Hidalgo, Esteban Moro","Tie Strength Precedes Social Embeddedness",2018
"Health and Wellbeing","Sharath Chandra Guntuku, Russell Ramsay, Raina Merchant, Lyle Ungar","Analyzing Linguistic Manifestations of ADHD in Adults on Social Media",2018
"Politics","Feng Shi, Misha Teplitskiy, Eamon Duede, James Evans Satyam Mukherjee, Ryan Whalen","The Wisdom of Polarized Crowds",2018
"Politics","Satyam Mukherjee, Ryan Whalen","Evolution and Formation of Judicial Advocacy Network",2018
"Politics","Malgorzata Turalska, Ananthram Swami","Mesoscopic Signatures of Covert Groups: Changes in Motif Composition of the Provisional Irish Republican Army from 1970 to 1989",2018
"Politics","Nick Judd","Who Speaks in the People's House? Policy Debate and Unequal Representation in the U.S. Congress",2018
"Politics","Douglas Guilbeault, Joshua Becker, Damon Centola","Bipartisan Networks Reduce Political Bias in the Interpretation of Climate Trends",2018
"Politics","Cristian Huepe","Opinion Fragmentation and Post-Truth Dynamics in Social Networks",2018
"Politics","Bertram Vidgen, Taha Yasseri","The Where, What and When of Petitioning in the UK: a Case Study of Petitions Submitted to the UK Government",2018
"Politics","Dave Gianetto, Mohsen Mosleh, Babak Heydari","The Dark Side of Resilience: Evolution of Market Competition Under the Affordable Care Act",2018
"Methods","Amir Ghasemian, Homa Hosseinmardi, Aaron Clauset","Evaluating and Comparing Overfit in Models of Network Community Structure",2018
"Methods","Martin Saveski, Jean Pouget-Abadie, Guillaume Saint-Jacques, Weitao Duan, Souvik Ghosh, Ya Xu, Edoardo M. Airoldi","Detecting Network Effects: Randomizing Over Randomized Experiments",2018
"Methods","Ly Dinh, William Barley","A Multiple Membership Multiple Classification (MMMC) Model Approach for Egocentric Network Data",2018
"Methods","Angelo Mele","A Structural Model of Homophily and Clustering in Social Networks",2018
"Methods","Kenneth Joseph, Jonathan Morgan","The Identity Labeling Problem and a ""Solution"" to It",2018
"Methods","Dallas Card, Noah Smith","The Importance of Calibration for Estimating Label Proportions",2018
"Methods","Morgan Frank, Nick Obradovich, Iyad Rahwan, Brad Leveck, Lijun Sun","Detecting Reciprocity at a Global Scale",2018
"Gender","Ivan Smirnov, Elizaveta Sivak","Gender Bias in Sharenting: Both Men and Women Mention Sons More Often than Daughters on Social Media",2018
"Gender","Taha Yasseri","Semantic Map of Sexism: Topic Modelling of Everyday Sexism Project Entries",2018
"Gender","Daniel Larremore, Aniko Hannak, Kenneth Joseph, Andrei Cimpian","The Branching Pipeline: Understanding Gender Disparities Within and Across Fields",2018
"Corporations","Judy Hanwen Shen, Morgan Frank, Esteban Moro, Iyad Rahwan","Evolution of Employment in the United States: a Half-Century of Polarization",2018
"Corporations","Yuan Tian, Ned Smith, Brayden King","Labor Cost Advantage of Status and Corporate Social Responsibility: Evidence from a Regression Discontinuity Design",2018
"Corporations","Joshua Gary Mausolf","Corporate Politics: the Rise of Partisan Polarization in Firms, 1984-2016",2018
"Corporations","Richard Benton, J Adam Cobb","Eyes on the Horizon? Fragmented Elites and the Short-Term Focus of the American Corporation",2018
"Application of Algorithms","Jens Hainmueller, Kirk Bansak, Jeremy Ferwerda","Improving Refugee Integration Through Data-Driven Algorithmic Assignment",2018
"Application of Algorithms","Julia Koschinsky, Nicole Marwell","Addressing Bigger Picture Questions in Human Services Funding with Government Open Data: A Cautionary Tale",2018
"Application of Algorithms","Martin Hilbert, Billy Liu, Jonathan Luu, Joel Fishbein","Behavioral Experiments with Social Algorithms: An Information Theoretic Approach to Greying the Black Box",2018
"Application of Algorithms","Edmond Awad, Sydney Levine, Max Kleiman-Weiner, Sohan Dsouza, Joshua Tenenbaum, Azim Shariff, Jean-Francois Bonnefon, Iyad Rahwan","Blaming Humans in Autonomous Vehicle Accidents: Shared Responsibility Across Levels of Automation",2018
"Space","Inho Hong, Morgan Frank, Iyad Rahwan, Woo-Sung Jung, Hyejin Youn","Urban Economies Recapitulate a Common Trajectory",2018
"Space","Dan O'Brien","The Role of Microplaces in the Urban Landscape: The Case of the Distribution and Consequences of Violent Crime",2018
"Social Class","Vedran Sekara, Jonggun Lee, Miguel Luengo, Nick Obradovich, Manuel Garcia-Herranz, Esteban Moro","Predicting Socio-Economic Indicators for Multiple Countries from Social Media Data",2018
"Social Class","Patrick Park, Minsu Park, Michael Macy","Economic Correlates of Diversity and Inequality in Online Social Networks",2018
"Social Class","Omid Askari, Jacqueline Ng, Francesco Bullo, Noah Friedkin, Ambuj Singh, Brian Uzzi","Transitions Between Structurally Balanced and Unbalanced States and Risky Decision-Making in Social Networks",2018
"Social Class","Hui-Min Xu, Zhi-Cong Chen, Cheng-Jun Wang","Social Classes Shape Our Trajectories in Both Online and Offline Space",2018
"Conversation","David Ifeoluwa Adelani, Fabian Flock, Przemyslaw Grabowicz, Scott Hale, Timo Hartman, David Jurgens","Agendas on Social Media: Inferring Policy Attention from Non-Representative Data",2018
"Conversation","Karoly Takacs, Boroka Papay, Julia Galantai, Balint Kubik","The Gossip Hypothesis",2018
"Conversation","Federica Bianchi, Christoph Stadtfeld, Alessandro Lomi","Money Talks: An Empirical Study on the Conversational Structure of Financial Markets",2018
"Conversation","Andras Voros","Friends Under Pressure: The Dynamics of Group Disagreement and Social Structure in Closed Communities",2018
"Words","Marc-Etienne Brunet, Ashton Anderson, Richard Zemel","Tracing the Origins of Bias in Word Embeddings",2018
"Words","Aghniadi Aghniadi, Annabelle Wenas","Courting of Public Opinion: How We Measure the Discourse of Human Rights Issues in Indonesia Through Topic Modeling of Aksi Kamisan Letters",2018
"Words","Rishemjit Kaur, Kazutoshi Sasahara","Mapping the Moral Domain: A Factor Analysis of Distributed Representations of Moral Words",2018
"Words","Molly Lewis, James Evans","Second-Language Learner Text as a Window into the Alignment of Cross-Linguistic Semantics",2018
"Music","Samuel Way, Santiago Gil, Manish Nag, Aaron Clauset","Environmental Changes and the Formation of Musical Identity",2018
"Music","Michael Mauskapf, Noah Askin, Agnes Horvat, Brian Uzzi","Is There a Gender Gap in the Novelty of Creative Products? Evidence from the Global Music Industry",2018
"Music","Jan-Felix Schneider, Andrew Schwartz","Can Inferred Personality Improve the Accuracy of Music Recommender Systems?",2018
"Music","John Ternovski, Taha Yasseri","Social Influence in Music Listenership: A Natural Experiment on 1.3 Million Last.fm Users",2018
"Personality","Niccolo Pescetelli, Iyad Rahwan","Hybrid Intelligence: Preliminary Results from a National Forecasting Competition",2018
"Personality","Kazutoshi Sasahara","You Are What You Eat: A Social Media Study of Personality Traits",2018
"Personality","Martin Gerlach, Beatrice Farb, William Revelle, Luis Amaral","A New Computational Approach to the Debate on Personality Types Using Large Datasets",2018
"Personality","Megan Squire","Analyzing Far-Right Extremist Facebook Group Co-Membership During the ""Summer of Hate""",2018
"Social Movements","Hao Peng, Daniel Romero, Ceren Budak","Event-Driven Modeling of Crowd Dynamics in Online Social Movements",2018
